Train_Line,LGA,Category,2011,2012,2013,2014,2015,2016,2017,2018
Joondalup,Wanneroo,Total_Pop,,,87969,90723,93666,96833,98901,100938
Joondalup,Wanneroo,Working_Pop,,,119664,123472,127152,131117,133680,136383
Joondalup,Wanneroo,Nr_Businesses,,,,11287,11780,12476,12813,13019
Joondalup,Wanneroo,Nr_Cars,,,92751,99846,104025,107927,111389,114159
Joondalup,Wanneroo,Unemployed,3751,,,,,8285,,
Joondalup,Wanneroo,Working_force,77128,,,,,97377,,
Joondalup,Wanneroo,Work_Train,2135,,,,,2692,,
Joondalup,Wanneroo,Work_Bus,1209,,,,,1872,,
Joondalup,Wanneroo,Work_Car,46755,,,,,58774,,
Joondalup,Wanneroo,Work_Home,2192,,,,,3033,,
Mandurah,Melville,Total_Pop,,,104319,104073,103522,102342,102076,101940
Mandurah,Melville,Working_Pop,,,69541,68766,67691,66213,65487,64622
Mandurah,Melville,Nr_Businesses,,,,10349,10381,10459,10557,10618
Mandurah,Melville,Nr_Cars,,,67174,68912,69142,69137,68878,68968
Mandurah,Melville,Unemployed,2073,,,,,3409,,
Mandurah,Melville,Working_force,50449,,,,,50074,,
Mandurah,Melville,Work_Train,1136,,,,,1011,,
Mandurah,Melville,Work_Bus,2121,,,,,1874,,
Mandurah,Melville,Work_Car,29824,,,,,29995,,
Mandurah,Melville,Work_Home,2149,,,,,2428,,
Mandurah,Cockburn,Total_Pop,,,102787,104906,106802,108302,110110,112165
Mandurah,Cockburn,Working_Pop,,,71495,72703,73709,74370,75176,76209
Mandurah,Cockburn,Nr_Businesses,,,,,1196,1209,1300,1263
Mandurah,Cockburn,Nr_Cars,,,54176,57572,58723,59957,60418,60367
Mandurah,Cockburn,Unemployed,2073,,,,,4255,,
Mandurah,Cockburn,Working_force,48358,,,,,56020,,
Mandurah,Cockburn,Work_Train,1185,,,,,1427,,
Mandurah,Cockburn,Work_Bus,998,,,,,1249,,
Mandurah,Cockburn,Work_Car,29916,,,,,34711,,
Mandurah,Cockburn,Work_Home,1210,,,,,1659,,
Mandurah,Kwinana,Total_Pop,,,34707,36444,38153,40058,41849,43511
Mandurah,Kwinana,Working_Pop,,,23862,25081,26204,27538,28641,29635
Mandurah,Kwinana,Nr_Businesses,,,,1413,1502,1588,1751,1828
Mandurah,Kwinana,Nr_Cars,,,17787,18938,19981,21036,22120,22838
Mandurah,Kwinana,Unemployed,921,,,,,2029,,
Mandurah,Kwinana,Working_force,13651,,,,,18831,,
Mandurah,Kwinana,Work_Train,544,,,,,969,,
Mandurah,Kwinana,Work_Bus,268,,,,,372,,
