Month,Average Price,Fuel %,Armadale,Armadale %,Mandurah,Mandurah %,Joondalup,Joondalup %,Total,%
Jun-17,124.1,-0.014297061,622804,-0.130678019,1718109,-0.106660469,1383099,-0.096402332,11801132,-0.121816154
Jul-17,118.5,-0.045124899,608244,-0.023378141,1594206,-0.072115913,1307672,-0.05453478,10577168,-0.103715813
Aug-17,123.3,0.040506329,694894,0.142459276,1844968,0.157295858,1486207,0.136528885,12898667,0.219482096
Sep-17,127.1,0.03081914,648525,-0.066728163,1686952,-0.085647014,1346815,-0.093790434,11431138,-0.113773695
Oct-17,129.3,0.017309205,672237,0.03656297,1803792,0.06926101,1423206,0.056719743,12068032,0.055715713
Nov-17,135.6,0.048723898,676480,0.006311762,1727058,-0.042540382,1410566,-0.008881357,12076076,0.000666554
Dec-17,137.3,0.012536873,591382,-0.125795293,1542494,-0.106866127,1273838,-0.096931303,10024267,-0.16990693
Jan-18,137.9,0.004369993,570917,-0.034605382,1543446,0.000617182,1267304,-0.005129381,9973959,-0.005018621
Feb-18,137.4,-0.003625816,635273,0.112723916,1693158,0.096998534,1371951,0.082574505,11844206,0.187513003
Mar-18,135.7,-0.012372635,699412,0.100962893,1925777,0.137387651,1511463,0.101688763,13361771,0.128127204
Apr-18,138.9,0.02358143,606015,-0.133536456,1639354,-0.148731136,1299603,-0.14016883,11144956,-0.165907274
May-18,147.2,0.05975522,711121,0.173437951,1881344,0.147613023,1479928,0.138753912,13233422,0.187391139
Jun-18,148.5,0.008831522,621072,-0.126629645,1663167,-0.11596869,1298834,-0.122366764,11213487,-0.152638902
Jul-18,146.3,-0.014814815,651241,0.048575688,1649353,-0.008305841,1324557,0.019804686,11213154,-2.96964E-05
Aug-18,143.9,-0.016404648,710155,0.090464206,1860938,0.128283636,1461035,0.103036713,12979597,0.157533108
Sep-18,148.5,0.031966644,668643,-0.058454844,1688413,-0.092708623,1324856,-0.093207213,11511559,-0.113103512
Oct-18,157.4,0.05993266,721509,0.079064613,1846604,0.093692124,1463744,0.104832525,12406020,0.077701118
Nov-18,145.4,-0.076238882,706227,-0.021180609,1785831,-0.032910684,1438107,-0.017514675,12176954,-0.0184641
Dec-18,129.4,-0.110041265,604933,-0.143429804,1547916,-0.133223692,1257974,-0.125257022,9986437,-0.17989039
Jan-19,127.8,-0.01236476,590723,-0.023490205,1570284,0.014450397,1279692,0.017264268,10081138,0.009482962
Feb-19,129.8,0.015649452,629396,0.065467233,1751463,0.115379766,1374352,0.073970924,11967750,0.187142761
Mar-19,137.1,0.05624037,712357,0.131810498,1942795,0.109241246,1522071,0.107482654,13201548,0.103093564
Apr-19,145.9,0.064186725,635042,-0.108534064,1705033,-0.122381414,1323542,-0.130433469,11450802,-0.13261672
May-19,149.3,0.023303633,741808,0.168124313,1958947,0.148920285,1514276,0.144108763,13509992,0.179829325
Jun-19,138.1,-0.075016745,611345,-0.175871654,1593242,-0.186684479,1247582,-0.176119809,10969471,-0.188047558
Jul-19,140,0.013758146,687342,0.12431115,1753184,0.100387763,1396593,0.119439844,11767342,0.072735595
Aug-19,139.2,-0.005714286,719250,0.046422305,1902697,0.085280838,1486377,0.064287878,13228315,0.124154886
Sep-19,141.6,0.017241379,682335,-0.051324296,1771571,-0.06891586,1365620,-0.081242511,12042885,-0.089613076
Oct-19,145.9,0.030367232,734091,0.075851305,1909077,0.077618114,1492695,0.093052972,12537394,0.041062337
Nov-19,144.4,-0.010281014,680526,-0.072967793,1752157,-0.082196789,1377545,-0.07714235,11944242,-0.047310629
Dec-19,144.9,0.003462604,616449,-0.094158048,1572129,-0.1027465,1249524,-0.092934169,10400359,-0.129257512
Jan-20,143.7,-0.008281573,600039,-0.026620207,1583805,0.007426871,1296273,0.037413447,10187994,-0.020419007
Feb-20,135.6,-0.056367432,659953,0.099850176,1752417,0.106460076,1377271,0.062485294,12242377,0.201647449
